date,open,high,low,close,volume,Name
2013-09-09,38.87,39.0,38.63,38.77,1636411,AVGO
2013-09-09,35.43,35.5,34.67,34.805,7780138,MPC
2013-09-09,45.5786,45.8452,45.4548,45.6357,1387453,VFC
2013-09-09,84.76,85.49,84.76,85.28,1102877,GD
2013-09-09,77.62,78.34,77.54,78.33,2161292,HES
2013-09-09,13.33,13.49,13.24,13.365,3410972,CDNS
2013-09-09,41.28,41.9,41.27,41.9,1688351,MAT
2013-09-09,157.41,159.7,157.16,159.49,2151025,GS
2013-09-09,48.6,49.2,48.54,49.2,5220297,CRM
2013-09-09,27.39,27.56,27.31,27.46,8429804,XEL
2013-09-09,73.14,73.9394,73.14,73.79,1700322,ADP
2013-09-09,26.93,27.37,26.64,27.11,3585366,EA
2013-09-09,103.89,105.36,103.89,104.76,954221,PH
2013-09-09,98.1,98.63,97.59,98.5,377280,LH
2013-09-09,40.09,40.26,39.88,40.26,429009,PDCO
2013-09-09,35.8,35.96,35.74,35.86,2055996,EW
2013-09-09,40.69,41.39,39.95,41.27,3412330,CMA
2013-09-09,61.71,62.16,61.29,62.16,1448450,VTR
2013-09-09,38.905,39.25,38.765,39.16,4956260,CTSH
2013-09-09,15.0,15.13,14.96,15.125,6160150,NVDA
2013-09-09,84.41,84.52,83.73,84.51,3966005,PM
2013-09-09,18.3666,18.7766,18.2967,18.74,3688383,MNST
2013-09-09,93.14,94.13,93.14,94.02,2317457,APC
2013-09-09,21.28,21.35,21.0425,21.1475,22559894,CMCSA
2013-09-09,63.801,64.089,63.553,64.04,6172810,MA
2013-09-09,37.01,37.23,36.7552,37.17,1942470,FE
2013-09-09,60.99,61.15,60.48,61.15,883324,DGX
2013-09-09,65.35,65.5,63.7899,64.77,6309694,ESRX
2013-09-09,47.88,48.325,47.6825,48.205,402244,IDXX
2013-09-09,144.48,148.89,143.7,148.75,236479,ESS
2013-09-09,30.6,30.975,30.6,30.83,2927943,IVZ
2013-09-09,32.91,33.095,32.73,33.0,3137425,STI
2013-09-09,58.0,58.78,58.0,58.57,2096118,CL
2013-09-09,26.23,26.85,26.22,26.78,1924162,XYL
2013-09-09,60.86,62.22,60.65,62.14,1670872,HCN
2013-09-09,128.1099,129.2065,127.9365,128.2999,1186110,ISRG
2013-09-09,122.36,124.04,122.36,123.76,370428,ORLY
2013-09-09,59.28,59.82,59.28,59.67,892142,FLS
2013-09-09,132.21,136.46,131.53,135.62,914011,WHR
2013-09-09,32.31,32.89,32.25,32.75,12400548,ORCL
2013-09-09,16.16,16.34,16.16,16.335,3668936,NWSA
2013-09-09,55.59,55.9299,55.4401,55.83,1232707,ED
2013-09-09,103.48,105.79,103.12,105.74,899971,APD
2013-09-09,24.245,24.595,24.245,24.51,738096,GPN
2013-09-09,73.23,73.31,72.36,72.95,1872604,PNC
2013-09-09,35.84,36.245,35.835,36.22,4936828,SBUX
2013-09-09,38.11,39.94,37.8,39.81,1523469,FBHS
2013-09-09,80.74,82.31,80.54,82.19,2797641,TRV
2013-09-09,29.65,30.01,29.65,29.85,1988958,CA
2013-09-09,36.46,37.0,36.42,36.87,435730,SNPS
2013-09-09,33.47,33.72,33.25,33.63,18992589,T
2013-09-09,61.66,62.77,61.65,62.5,2910499,EMR
2013-09-09,24.28,24.435,24.086,24.36,874660,LNT
2013-09-09,48.65,49.475,48.6,49.42,334058,CTAS
2013-09-09,115.01,115.27,112.93,113.14,1461431,MTB
2013-09-09,35.46,36.37,35.4,36.33,10750277,KMI
2013-09-09,14.41,14.66,14.41,14.63,8429383,GLW
2013-09-09,27.83,28.28,27.69,28.2,895307,AIV
